reviewerID,first_interaction,last_interaction,frequency,monetary,avg_rating,distinct_categories,recency,customer_age_T,r_score,f_score,m_score,rfm_segment,rfm_composite_score,cluster,pca_x,pca_y,pca_z,is_outlier,centroid_distance,clv_pred,p_active,churn_probability,expected_transactions_1y,projected_clv_1y,churn_risk_level,persona,priority_level,marketing_strategy,preferred_channel,discount_incentive
A000001P,2024-02-05,2025-12-31,11,1211.75,4.181818181818182,11,1,696,5,4,3,543,4.1,2,1.3486,0.7933,-0.7637,False,0.99,480.99,0.766,0.234,4.42,450.87,Low,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000002U,2024-01-27,2024-01-27,1,20.63,3.0,1,705,705,1,1,1,111,1.0,1,-4.5694,0.8819,0.0076,False,2.233,2.04,0.599,0.401,0.31,5.92,Medium,Hibernating / Casuals,Low (Low Touch),Automated low-cost liquidation campaigns or seasonal clearance alerts.,Mass Marketing / Retargeting Ads,Standard clearance promos (avoid expensive direct sales outreach)
A000003X,2024-02-21,2025-02-19,5,571.93,2.4,5,316,680,1,2,2,122,1.6,0,-1.7429,-1.4782,-0.583,False,1.763,41.97,0.341,0.659,0.92,96.93,High,Critical Reviewers,High (Service Recovery),Proactive customer success contact to resolve friction and collect feedback.,Direct Customer Support Outreach,Apology credit / Replacement support voucher
A000004F,2025-07-28,2025-12-31,9,1323.99,4.0,9,1,157,5,3,4,534,4.1,2,1.1509,0.6906,-0.9416,False,0.829,1809.54,0.76,0.24,15.91,2166.81,Low,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000005F,2024-05-25,2025-12-06,12,1606.98,4.333333333333333,12,26,586,3,4,4,344,3.6000000000000005,3,1.1175,0.0763,0.3979,False,0.562,620.99,0.684,0.316,5.12,634.29,Medium,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000006F,2024-05-24,2025-12-19,7,827.24,3.857142857142857,7,13,587,4,2,2,422,2.8000000000000003,2,0.1763,0.3697,-0.3739,False,0.667,488.03,0.746,0.254,3.25,355.18,Low,Loyal Customers,High (Nurture & Expand),Upsell higher-tier products and cross-sell accessories in related categories.,Targeted Email Newsletter & In-App Banners,10% on bundles or loyalty point multipliers
A000007C,2025-09-08,2025-12-29,22,2740.57,4.590909090909091,22,3,115,5,5,5,555,5.0,3,2.4818,0.2706,-0.0194,False,0.937,3542.53,0.702,0.298,36.61,4222.46,Low,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000008V,2024-06-06,2025-03-13,2,404.3,4.0,2,294,574,2,1,1,211,1.4000000000000001,1,-1.6801,0.5495,0.8128,False,0.936,58.92,0.594,0.406,0.76,141.4,Medium,Hibernating / Casuals,Low (Low Touch),Automated low-cost liquidation campaigns or seasonal clearance alerts.,Mass Marketing / Retargeting Ads,Standard clearance promos (avoid expensive direct sales outreach)
A000009N,2024-01-23,2024-12-22,14,1401.37,2.642857142857143,14,375,709,1,4,4,144,2.8,0,-0.3106,-2.1984,-0.1699,False,1.279,36.37,0.05,0.95,0.36,33.4,High,Critical Reviewers,High (Service Recovery),Proactive customer success contact to resolve friction and collect feedback.,Direct Customer Support Outreach,Apology credit / Replacement support voucher
A000010V,2024-03-05,2025-03-13,11,1679.36,4.090909090909091,11,294,667,2,4,4,244,3.2,0,0.4365,-0.7548,1.0844,False,1.093,80.96,0.064,0.936,0.39,54.66,High,At-Risk Customers,Critical (Win Back Immediately),"Urgent win-back campaigns, personalized reactivation discounts, and satisfaction surveys.",SMS Alert + Re-engagement Email Series,20% - 25% Time-limited reactivation coupon
