asin,title,category,brand,price,sales_rank
B0001001,ApexTech Ultra HD 4K Action Camera,Electronics,ApexTech,20.63,18124
B0001002,CyberPro Noise Cancelling Wireless Headphones,Electronics,CyberPro,65.22,48365
B0001003,ApexTech Portable Bluetooth Speaker Pro,Electronics,ApexTech,167.26,35841
B0001004,ApexTech Smart Home Security Cam,Electronics,ApexTech,147.86,2182
B0001005,AcuSound Fast Wireless Charging Stand,Electronics,AcuSound,36.08,15347
B0001006,TitanAudio High-Speed HDMI 2.1 Cable,Electronics,TitanAudio,150.45,36881
B0001007,CyberPro Multi-Port USB-C Hub Adapter,Electronics,CyberPro,176.1,46062
B0001008,TitanAudio True Wireless Earbuds with ANC,Electronics,TitanAudio,109.39,29539
B0001009,Vanguard Digital Voice Recorder,Electronics,Vanguard,77.59,525
B0001010,Chronos Power Bank 20000mAh PD Fast Charge,Electronics,Chronos,172.08,22398
B0001011,Lumina Ergonomic Mechanical Keyboard RGB,Computers & Accessories,Lumina,49.98,22159
B0001012,ApexTech Precision Wireless Gaming Mouse,Computers & Accessories,ApexTech,35.87,6438
B0001013,NexusWare USB-C Dual 4K Monitor Dock,Computers & Accessories,NexusWare,205.69,39665
B0001014,Lumina High-Performance 2TB NVMe SSD,Computers & Accessories,Lumina,196.6,47923
B0001015,PrimeWave Curved Ultrawide Gaming Monitor,Computers & Accessories,PrimeWave,135.65,24907
B0001016,ApexTech Laptop Cooling Pad with 5 Fans,Computers & Accessories,ApexTech,139.21,41298
B0001017,Vanguard Webcam 1080p with Dual Stereo Mics,Computers & Accessories,Vanguard,214.23,23800
B0001018,Vanguard Adjustable Aluminum Laptop Stand,Computers & Accessories,Vanguard,58.26,4658
B0001019,AcuSound Wi-Fi 6E Dual-Band PCIe Card,Computers & Accessories,AcuSound,163.78,19065
B0001020,ApexTech Durable Braided DisplayPort Cable,Computers & Accessories,ApexTech,207.45,6719
B0001021,OmniGear Wireless Controller for PC and Console,Video Games,OmniGear,77.54,41760
B0001022,NexusWare Surround Sound Gaming Headset,Video Games,NexusWare,51.6,23383
B0001023,CyberPro Arcade Fighting Stick Joystick,Video Games,CyberPro,165.79,46094
B0001024,ApexTech MicroSDXC Card 512GB High Speed,Video Games,ApexTech,152.05,11315
B0001025,TitanAudio RGB Gaming Mouse Pad Extended,Video Games,TitanAudio,179.05,10808
B0001026,PrimeWave Racing Steering Wheel with Pedals,Video Games,PrimeWave,100.38,42043
B0001027,TitanAudio Console Vertical Cooling Stand,Video Games,TitanAudio,64.41,21352
B0001028,AcuSound Custom Silicone Controller Grip,Video Games,AcuSound,66.54,2203
B0001029,NexusWare VR Gaming Headset Carry Case,Video Games,NexusWare,105.26,4437
B0001030,CyberPro Analog Stick Precision Rings Pack,Video Games,CyberPro,220.46,37270
B0001031,NexusWare Cardioid Condenser Studio Microphone,Musical Instruments,NexusWare,62.84,32817
B0001032,OmniGear Professional Audio Interface USB,Musical Instruments,OmniGear,214.05,42229
B0001033,PrimeWave Digital Electric Keyboard 61 Keys,Musical Instruments,PrimeWave,47.15,9250
B0001034,CyberPro Acoustic Guitar Starter Pack,Musical Instruments,CyberPro,182.62,35422
B0001035,Lumina Over-Ear Studio Monitor Headphones,Musical Instruments,Lumina,183.08,28177
B0001036,Vanguard Adjustable Heavy-Duty Boom Arm,Musical Instruments,Vanguard,104.87,14473
B0001037,Chronos Studio Monitor Isolation Pads,Musical Instruments,Chronos,129.64,6057
B0001038,AcuSound Guitar Digital Tuner and Capo Kit,Musical Instruments,AcuSound,208.75,10116
B0001039,Chronos XLR Balanced Audio Cable 10ft,Musical Instruments,Chronos,193.22,27766
B0001040,Vanguard MIDI Controller Keyboard 25-Key,Musical Instruments,Vanguard,29.29,25109
B0001041,Vanguard Programmable Smart Coffee Maker,Home & Kitchen,Vanguard,239.13,34776
B0001042,Lumina Stainless Steel Electric Gooseneck Kettle,Home & Kitchen,Lumina,233.49,852
B0001043,ApexTech Air Fryer XL 5.8 Quart,Home & Kitchen,ApexTech,168.38,35290
B0001044,Lumina Digital Precision Food Kitchen Scale,Home & Kitchen,Lumina,187.93,22393
B0001045,ApexTech Personal Countertop Blender,Home & Kitchen,ApexTech,81.04,10465
B0001046,PrimeWave Automatic Touchless Trash Can,Home & Kitchen,PrimeWave,15.73,47423
B0001047,Lumina Cast Iron Enameled Dutch Oven,Home & Kitchen,Lumina,233.67,11808
B0001048,TitanAudio HEPA Air Purifier for Large Rooms,Home & Kitchen,TitanAudio,220.34,41079
B0001049,Lumina Smart LED Under Cabinet Lighting,Home & Kitchen,Lumina,204.38,33370
B0001050,Vanguard Stainless Steel Chef Knife 8-Inch,Home & Kitchen,Vanguard,59.75,24604
B0001051,Chronos Designing Machine Learning Systems,Books,Chronos,136.36,34857
B0001052,AcuSound Hands-On Machine Learning with Scikit-Learn,Books,AcuSound,149.76,32121
